index,Close,High,Low,Open,Volume,Ticker
2026-04-30,271.1002502441406,275.7459641951834,267.893213328058,270.25102650288807,91848200,AAPL
2026-05-01,279.88214111328125,286.95561044034525,278.1137509144006,278.6032901046287,79915400,AAPL
2026-05-04,276.5751647949219,280.3716851917065,274.60697695873915,279.4025768563376,46668400,AAPL
2026-05-05,283.9184265136719,284.30808218316156,276.2455026895375,276.6750995896243,49311700,AAPL
2026-05-06,287.245361328125,287.76487170009636,280.8112868075762,281.66051049385584,58336100,AAPL
2026-05-07,287.1754150390625,291.8611003514943,285.5169394038565,289.00371711581823,45224300,AAPL
2026-05-08,293.0500183105469,294.4886952888782,289.7330669166447,289.7430674686918,52692800,AAPL
2026-05-11,292.67999267578125,293.8800048828125,290.2300109863281,291.9800109863281,42247300,AAPL
2026-05-12,294.79998779296875,295.2699890136719,292.55999755859375,292.55999755859375,45748100,AAPL
2026-05-13,298.8699951171875,300.9200134277344,293.5,293.5,52684300,AAPL
2026-05-14,298.2099914550781,300.45001220703125,295.3800048828125,299.82000732421875,35324900,AAPL
2026-05-15,300.2300109863281,303.20001220703125,296.5199890136719,297.8999938964844,54862800,AAPL
2026-05-18,297.8399963378906,300.6600036621094,294.9100036621094,300.239990234375,34483000,AAPL
2026-05-19,298.9700012207031,300.510009765625,296.3500061035156,296.9700012207031,42243600,AAPL
2026-05-20,302.25,302.79998779296875,298.0799865722656,298.17999267578125,38229800,AAPL
2026-05-21,304.989990234375,305.5400085449219,300.3999938964844,301.05999755859375,42965100,AAPL
2026-05-22,308.82000732421875,311.3999938964844,305.8399963378906,306.1199951171875,43627900,AAPL
